"kunta","perusosoite","lopullinen osoite","kieli","kieliversion osoite","lähde","tila"
"raisio","https://raisio.fi/","https://raisio.fi/fi","en","https://raisio.fi/en","anchor-hreflang","200"
"rantasalmi","https://www.rantasalmi.fi/","https://www.rantasalmi.fi/","en","https://www.rantasalmi.fi/en/","anchor","200"
"ranua","https://www.ranua.fi/","https://ranua.fi/","en","https://ranua.fi/en/","anchor","200"
"rauma","https://www.rauma.fi/","https://www.rauma.fi/","en","https://www.rauma.fi/en/","anchor","200"
"rautalampi","https://www.rautalampi.fi/","https://www.rautalampi.fi/","en","https://www.rautalampi.fi/english/","anchor","200"
"rautavaara","https://www.rautavaara.fi/","https://www.rautavaara.fi/","","","","200"
"rautjärvi","https://www.rautjarvi.fi/","https://www.rautjarvi.fi/fi","","","","200"
"reisjärvi","https://www.reisjarvi.fi/","https://www.reisjarvi.fi/","en","https://www.reisjarvi.fi/contact-english","anchor","200"
"riihimäki","https://www.riihimaki.fi/","https://www.riihimaki.fi/","","","","500"
"ristijärvi","https://www.ristijarvi.fi/","https://www.ristijarvi.fi/","","","","200"
"rovaniemi","https://www.rovaniemi.fi/","https://www.rovaniemi.fi/","en","https://international.rovaniemi.fi/","anchor","200"
"ruokolahti","https://www.ruokolahti.fi/","https://www.ruokolahti.fi/fi","","","","200"
"ruovesi","https://www.ruovesi.fi/","https://www.ruovesi.fi/","en","https://www.ruovesi.fi/tourists/","anchor-hreflang","200"
"rusko","https://rusko.fi/","https://rusko.fi/","","","","200"
"rääkkylä","https://www.raakkyla.fi/","https://www.raakkyla.fi/","","","","200"
"saarijärvi","https://saarijarvi.fi/","https://saarijarvi.fi/","","","","200"
"salla","https://www.salla.fi/","https://www.salla.fi/","en","https://www.salla.fi/en/","anchor","200"
"salo","https://salo.fi/","https://salo.fi/","en","https://salo.fi/en/","anchor","200"
"salo","https://salo.fi/","https://salo.fi/","sv","https://salo.fi/sv/","anchor","200"
"saltvik","https://www.saltvik.ax/","https://www.saltvik.ax/","sv","https://www.saltvik.ax/","aland-default","200"
"sastamala","https://sastamala.fi/","https://sastamala.fi/","","","","200"
"sauvo","https://www.sauvo.fi/","https://www.sauvo.fi/","en","https://www.sauvo.fi/?lang=en","anchor-hreflang","200"
"sauvo","https://www.sauvo.fi/","https://www.sauvo.fi/","sv","https://www.sauvo.fi/?lang=sv","anchor-hreflang","200"
"savitaipale","https://www.savitaipale.fi/","https://www.savitaipale.fi/fi","","","","200"
"savonlinna","https://www.savonlinna.fi/","https://www.savonlinna.fi/","en","https://www.savonlinna.fi/en/","anchor","200"
"savonlinna","https://www.savonlinna.fi/","https://www.savonlinna.fi/","ru","https://www.savonlinna.fi/ru/","anchor","200"
"savonlinna","https://www.savonlinna.fi/","https://www.savonlinna.fi/","sv","https://www.savonlinna.fi/sv/","anchor","200"
"savukoski","https://www.savukoski.fi/","https://www.savukoski.fi/","","","","200"
"seinäjoki","https://www.seinajoki.fi/","https://www.seinajoki.fi/","en","https://www.seinajoki.fi/en/","anchor-hreflang","200"
"seinäjoki","https://www.seinajoki.fi/","https://www.seinajoki.fi/","sv","https://www.seinajoki.fi/sv/","anchor-hreflang","200"
"sievi","https://www.sievi.fi/","https://www.sievi.fi/","","","","200"
"siikainen","https://siikainen.fi/","https://siikainen.fi/","en","https://siikainen.fi/in-english","anchor","200"
"siikajoki","https://www.siikajoki.fi/","https://www.siikajoki.fi/","","","","200"
"siikalatva","https://siikalatva.fi/","https://siikalatva.fi/","en","https://siikalatva.fi/en/frontpage/","anchor-hreflang","200"
"siilinjärvi","https://www.siilinjarvi.fi/","https://siilinjarvi.fi/","en","https://siilinjarvi.fi/en/","anchor-hreflang","200"
"simo","https://www.simo.fi/","https://www.simo.fi/","","","","200"
"sipoo","https://www.sipoo.fi/","https://www.sipoo.fi/","en","https://www.sipoo.fi/en/","anchor-hreflang","200"
"sipoo","https://www.sipoo.fi/","https://www.sipoo.fi/","sv","https://www.sipoo.fi/sv/","anchor-hreflang","200"
"siuntio","https://www.siuntio.fi/","https://www.siuntio.fi/","sv","https://www.siuntio.fi/sv/","anchor-hreflang","200"
"sodankylä","https://www.sodankyla.fi/","https://www.sodankyla.fi/","en","https://www.sodankyla.fi/en/","anchor","200"
"soini","https://soini.fi/","https://soini.fi/","","","","200"
"somero","https://www.somero.fi/","https://www.somero.fi/","en","https://www.somero.fi/in-english/","anchor","200"
"sonkajärvi","https://www.sonkajarvi.fi/","https://sonkajarvi.fi/fi","","","","200"
"sotkamo","https://www.sotkamo.fi/","https://www.sotkamo.fi/","en","https://www.sotkamo.fi/en/","anchor-hreflang","200"
"sottunga","https://www.sottunga.ax/","https://www.sottunga.ax/","sv","https://www.sottunga.ax/","aland-default","200"
"sulkava","https://sulkava.fi/","https://sulkava.fi/","en","https://sulkava.fi/en/","anchor","200"
"sulkava","https://sulkava.fi/","https://sulkava.fi/","ru","https://sulkava.fi/ru/","anchor","200"
"sund","https://www.sund.ax/","https://www.sund.ax/","sv","https://www.sund.ax/","aland-default","200"
"suomussalmi","https://www.suomussalmi.fi/","https://suomussalmi.fi/fi","en","https://suomussalmi.fi/en","anchor","200"
"suonenjoki","https://suonenjoki.fi/","https://suonenjoki.fi/","en","https://suonenjoki.fi/en/","anchor","200"
"sysmä","https://sysma.fi/","https://sysma.fi/","sv","https://sysma.fi/blanketter-pa-svenska/","anchor","200"
"säkylä","https://www.sakyla.fi/","https://www.sakyla.fi/","en","https://www.sakyla.fi/en/","anchor","200"
"säkylä","https://www.sakyla.fi/","https://www.sakyla.fi/","sv","https://www.sakyla.fi/sv/","anchor","200"
"taipalsaari","https://www.taipalsaari.fi/","https://www.taipalsaari.fi/fi","","","","200"
"taivalkoski","https://www.taivalkoski.fi/","https://taivalkoski.fi/","en","https://taivalkoski.fi/en/welcome/","anchor-hreflang","200"
"taivassalo","https://www.taivassalo.fi/","https://www.taivassalo.fi/","","","","200"
"tammela","https://www.tammela.fi/","https://www.tammela.fi/","en","https://www.tammela.fi/in-english","anchor","200"
"tampere","https://www.tampere.fi/","https://www.tampere.fi/","en","https://www.tampere.fi/en","anchor-hreflang","200"
"tervo","https://www.tervo.fi/","https://www.tervo.fi/fi/etusivu","en","https://www.tervo.fi/english","anchor","200"
"tervo","https://www.tervo.fi/","https://www.tervo.fi/fi/etusivu","sv","https://www.tervo.fi/svenska","anchor","200"
"tervola","https://tervola.fi","https://tervola.fi/","en","https://tervola.fi/en/","anchor","200"
"teuva","https://teuva.fi/","https://teuva.fi/","","","","200"
"tohmajärvi","https://www.tohmajarvi.fi/","https://www.tohmajarvi.fi/","en","https://www.tohmajarvi.fi/en/web/english","anchor","200"
"tohmajärvi","https://www.tohmajarvi.fi/","https://www.tohmajarvi.fi/","ru","https://www.tohmajarvi.fi/ru/web/russia","anchor","200"
"toholampi","https://www.toholampi.fi/","https://www.toholampi.fi/","en","https://www.toholampi.fi/english/","anchor","200"
"toivakka","https://www.toivakka.fi/","https://www.toivakka.fi/","en","https://www.toivakka.fi/en/","anchor","200"
"tornio","https://www.tornio.fi/","https://www.tornio.fi/","en","https://www.tornio.fi/en/","anchor-hreflang","200"
"tornio","https://www.tornio.fi/","https://www.tornio.fi/","sv","https://www.tornio.fi/sv/","anchor-hreflang","200"
"turku","https://turku.fi","https://www.turku.fi/","en","https://www.turku.fi/en","anchor-hreflang","200"
"turku","https://turku.fi","https://www.turku.fi/","sv","https://www.turku.fi/sv","anchor-hreflang","200"
"tuusniemi","https://www.tuusniemi.fi/","https://www.tuusniemi.fi/etusivu","en","https://www.tuusniemi.fi/english","anchor","200"
"tuusniemi","https://www.tuusniemi.fi/","https://www.tuusniemi.fi/etusivu","sv","https://www.tuusniemi.fi/svenska","anchor","200"
"tuusula","https://www.tuusula.fi/","https://tuusula.fi/","en","https://tuusula.fi/en/home/","anchor-hreflang","200"
"tyrnävä","https://www.tyrnava.fi/","https://www.tyrnava.fi/","en","https://www.tyrnava.fi/en/home.html","anchor","200"
"ulvila","https://www.ulvila.fi/","https://www.ulvila.fi/","","","","200"
"urjala","https://www.urjala.fi/","https://www.urjala.fi/","","","","200"
"utajärvi","https://www.utajarvi.fi/","https://www.utajarvi.fi/fi/","en","https://www.utajarvi.fi/en/","anchor","200"
"utsjoki","https://www.utsjoki.fi/","https://www.utsjoki.fi/","se","https://www.utsjoki.fi/se/","anchor","200"
"uurainen","https://uurainen.fi/","https://uurainen.fi/","en","https://uurainen.fi/en/","anchor","200"
"uusikaarlepyy","https://www.nykarleby.fi/","https://www.nykarleby.fi/","sv","https://www.nykarleby.fi/","anchor-hreflang","200"
"uusikaupunki","https://uusikaupunki.fi/","https://uusikaupunki.fi/fi","en","https://uusikaupunki.fi/en","anchor-hreflang","200"
"vaala","https://www.vaala.fi/","https://www.vaala.fi/","en","https://www.vaala.fi/in-english/","anchor","200"
"vaasa","https://www.vaasa.fi/","https://www.vaasa.fi/","en","https://www.vaasa.fi/en/","anchor","200"
"vaasa","https://www.vaasa.fi/","https://www.vaasa.fi/","sv","https://www.vaasa.fi/sv/","anchor","200"
"valkeakoski","https://www.valkeakoski.fi/","https://www.valkeakoski.fi/","","","","500"
"vantaa","https://www.vantaa.fi/","https://www.vantaa.fi/fi","en","https://www.vantaa.fi/en","anchor-hreflang","200"
"vantaa","https://www.vantaa.fi/","https://www.vantaa.fi/fi","sv","https://www.vantaa.fi/sv","anchor-hreflang","200"
"varkaus","https://varkaus.fi/","https://varkaus.fi/fi","en","https://varkaus.fi/en","anchor","200"
"varkaus","https://varkaus.fi/","https://varkaus.fi/fi","ru","https://varkaus.fi/ru","anchor","200"
"vehmaa","https://www.vehmaa.fi/","https://www.vehmaa.fi/","","","","200"
"vesanto","https://vesanto.fi/","https://vesanto.fi/","","","","200"
"vesilahti","https://www.vesilahti.fi/","https://www.vesilahti.fi/","","","","200"
"veteli","https://veteli.fi/","https://veteli.fi/","","","","200"
"vieremä","https://vierema.fi/","https://vierema.fi/","","","","200"
"vihti","https://www.vihti.fi/","https://www.vihti.fi/","","","","200"
"viitasaari","https://viitasaari.fi/","https://viitasaari.fi/","","","","200"
"vimpeli","https://www.vimpeli.fi/","https://www.vimpeli.fi/","","","","200"
"virolahti","https://virolahti.fi/","https://virolahti.fi/","","","","200"
"virrat","https://www.virrat.fi","https://www.virrat.fi/","en","https://www.virrat.fi/english","anchor","200"
"vårdö","https://www.vardo.ax/","https://www.vardo.ax/","sv","https://www.vardo.ax/","aland-default","200"
"vöyri","https://www.vora.fi/","https://www.vora.fi/","en","https://www.vora.fi/en/","anchor-hreflang","200"
"vöyri","https://www.vora.fi/","https://www.vora.fi/","sv","https://www.vora.fi/","anchor-hreflang","200"
"ylitornio","https://ylitornio.fi/","https://ylitornio.fi/","","","","200"
"ylivieska","https://www.ylivieska.fi/","https://www.ylivieska.fi/","en","https://www.ylivieska.fi/en/front-page/","anchor-hreflang","200"
"ylöjärvi","https://www.ylojarvi.fi/","https://www.ylojarvi.fi/","en","https://www.ylojarvi.fi/in-english/","anchor","200"
"ylöjärvi","https://www.ylojarvi.fi/","https://www.ylojarvi.fi/","uk","https://www.ylojarvi.fi/ukraina/","anchor","200"
"ypäjä","https://ypaja.fi/","https://ypaja.fi/","","","","200"
"ähtäri","https://www.ahtari.fi/","https://www.ahtari.fi/","","","","200"
"äänekoski","https://www.aanekoski.fi/","https://www.aanekoski.fi/","en","http://www.aanekoski.fi/en/","anchor","200"
"äänekoski","https://www.aanekoski.fi/","https://www.aanekoski.fi/","ru","https://www.aanekoski.fi/ru/","anchor","200"
"äänekoski","https://www.aanekoski.fi/","https://www.aanekoski.fi/","sv","https://www.aanekoski.fi/sv/","anchor","200"
"äänekoski","https://www.aanekoski.fi/","https://www.aanekoski.fi/","uk","http://www.aanekoski.fi/uk/","anchor","200"
